Disease;Symptom_1;Symptom_2;Symptom_3;Symptom_4;Symptom_5;Symptom_6;Symptom_7;Symptom_8;Symptom_9
hepatitis A;joint_pain;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;mild_fever;yellowing_of_eyes
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes
Hepatitis B;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellowing_of_eyes;malaise
Hepatitis D;joint_pain;vomiting;fatigue;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain
Hepatitis E;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite
Tuberculosis;vomiting;fatigue;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;fatigue;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;cough;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;weight_loss;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;high_fever;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;high_fever;breathlessness;loss_of_appetite;mild_fever
Common Cold;continuous_sneezing;chills;fatigue;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm
Common Cold;continuous_sneezing;chills;fatigue;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm
Common Cold;chills;fatigue;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;fatigue;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;fatigue;high_fever;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;fatigue;cough;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;fatigue;cough;high_fever;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;fatigue;cough;high_fever;headache;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;fatigue;cough;high_fever;headache;swelled_lymph_nodes;phlegm;throat_irritation
Pneumonia;chills;fatigue;cough;high_fever;breathlessness;sweating;malaise;chest_pain;fast_heart_rate
Pneumonia;chills;fatigue;cough;high_fever;breathlessness;sweating;malaise;phlegm;chest_pain
Pneumonia;chills;fatigue;cough;high_fever;breathlessness;sweating;malaise;phlegm;chest_pain
Pneumonia;fatigue;cough;high_fever;breathlessness;sweating;malaise;phlegm;chest_pain;fast_heart_rate
Pneumonia;chills;cough;high_fever;breathlessness;sweating;malaise;phlegm;chest_pain;fast_heart_rate
Pneumonia;chills;fatigue;high_fever;breathlessness;sweating;malaise;phlegm;chest_pain;fast_heart_rate
Pneumonia;chills;fatigue;cough;breathlessness;sweating;malaise;phlegm;chest_pain;fast_heart_rate
Pneumonia;chills;fatigue;cough;high_fever;sweating;malaise;phlegm;chest_pain;fast_heart_rate
Pneumonia;chills;fatigue;cough;high_fever;breathlessness;malaise;phlegm;chest_pain;fast_heart_rate
Pneumonia;chills;fatigue;cough;high_fever;breathlessness;sweating;phlegm;chest_pain;fast_heart_rate
Hypothyroidism;fatigue;weight_gain;cold_hands_and_feets;mood_swings;lethargy;dizziness;puffy_face_and_eyes;enlarged_thyroid;brittle_nails
Hypothyroidism;fatigue;weight_gain;cold_hands_and_feets;mood_swings;lethargy;dizziness;puffy_face_and_eyes;enlarged_thyroid;brittle_nails
Hypothyroidism;weight_gain;cold_hands_and_feets;mood_swings;lethargy;dizziness;puffy_face_and_eyes;enlarged_thyroid;brittle_nails;swollen_extremeties
Hypothyroidism;weight_gain;cold_hands_and_feets;mood_swings;lethargy;dizziness;puffy_face_and_eyes;enlarged_thyroid;brittle_nails;swollen_extremeties
Hypothyroidism;fatigue;cold_hands_and_feets;mood_swings;lethargy;dizziness;puffy_face_and_eyes;enlarged_thyroid;brittle_nails;swollen_extremeties
Hypothyroidism;fatigue;weight_gain;mood_swings;lethargy;dizziness;puffy_face_and_eyes;enlarged_thyroid;brittle_nails;swollen_extremeties
Hypothyroidism;fatigue;weight_gain;cold_hands_and_feets;lethargy;dizziness;puffy_face_and_eyes;enlarged_thyroid;brittle_nails;swollen_extremeties
Hypothyroidism;fatigue;weight_gain;cold_hands_and_feets;mood_swings;dizziness;puffy_face_and_eyes;enlarged_thyroid;brittle_nails;swollen_extremeties
Hypothyroidism;fatigue;weight_gain;cold_hands_and_feets;mood_swings;lethargy;puffy_face_and_eyes;enlarged_thyroid;brittle_nails;swollen_extremeties
Hypothyroidism;fatigue;weight_gain;cold_hands_and_feets;mood_swings;lethargy;dizziness;enlarged_thyroid;brittle_nails;swollen_extremeties
Hyperthyroidism;fatigue;mood_swings;weight_loss;restlessness;sweating;diarrhoea;fast_heart_rate;excessive_hunger;muscle_weakness
Hyperthyroidism;fatigue;mood_swings;weight_loss;restlessness;sweating;diarrhoea;fast_heart_rate;excessive_hunger;muscle_weakness
Hyperthyroidism;mood_swings;weight_loss;restlessness;sweating;diarrhoea;fast_heart_rate;excessive_hunger;muscle_weakness;irritability
Hyperthyroidism;fatigue;weight_loss;restlessness;sweating;diarrhoea;fast_heart_rate;excessive_hunger;muscle_weakness;irritability
Hyperthyroidism;fatigue;mood_swings;restlessness;sweating;diarrhoea;fast_heart_rate;excessive_hunger;muscle_weakness;irritability
Hyperthyroidism;fatigue;mood_swings;weight_loss;sweating;diarrhoea;fast_heart_rate;excessive_hunger;muscle_weakness;irritability
Hyperthyroidism;fatigue;mood_swings;weight_loss;restlessness;diarrhoea;fast_heart_rate;excessive_hunger;muscle_weakness;irritability
Hyperthyroidism;fatigue;mood_swings;weight_loss;restlessness;sweating;fast_heart_rate;excessive_hunger;muscle_weakness;irritability
Hyperthyroidism;fatigue;mood_swings;weight_loss;restlessness;sweating;diarrhoea;excessive_hunger;muscle_weakness;irritability
Hyperthyroidism;fatigue;mood_swings;weight_loss;restlessness;sweating;diarrhoea;fast_heart_rate;muscle_weakness;irritability
Hypoglycemia;vomiting;fatigue;anxiety;sweating;headache;nausea;blurred_and_distorted_vision;excessive_hunger;slurred_speech
Hypoglycemia;vomiting;fatigue;anxiety;sweating;headache;nausea;blurred_and_distorted_vision;excessive_hunger;drying_and_tingling_lips
Hypoglycemia;vomiting;fatigue;anxiety;sweating;headache;nausea;blurred_and_distorted_vision;excessive_hunger;drying_and_tingling_lips
Hypoglycemia;fatigue;anxiety;sweating;headache;nausea;blurred_and_distorted_vision;excessive_hunger;drying_and_tingling_lips;slurred_speech
Hypoglycemia;vomiting;anxiety;sweating;headache;nausea;blurred_and_distorted_vision;excessive_hunger;drying_and_tingling_lips;slurred_speech
Hypoglycemia;vomiting;fatigue;sweating;headache;nausea;blurred_and_distorted_vision;excessive_hunger;drying_and_tingling_lips;slurred_speech
Hypoglycemia;vomiting;fatigue;anxiety;headache;nausea;blurred_and_distorted_vision;excessive_hunger;drying_and_tingling_lips;slurred_speech
Hypoglycemia;vomiting;fatigue;anxiety;sweating;nausea;blurred_and_distorted_vision;excessive_hunger;drying_and_tingling_lips;slurred_speech
Hypoglycemia;vomiting;fatigue;anxiety;sweating;headache;blurred_and_distorted_vision;excessive_hunger;drying_and_tingling_lips;slurred_speech
Hypoglycemia;vomiting;fatigue;anxiety;sweating;headache;nausea;excessive_hunger;drying_and_tingling_lips;slurred_speech
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite
Diabetes;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;irregular_sugar_level;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;lethargy;blurred_and_distorted_vision;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;obesity;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;excessive_hunger;increased_appetite;polyuria
Diabetes;fatigue;weight_loss;restlessness;lethargy;irregular_sugar_level;blurred_and_distorted_vision;obesity;increased_appetite;polyuria
Migraine;acidity;indigestion;headache;blurred_and_distorted_vision;excessive_hunger;stiff_neck;depression;irritability;visual_disturbances
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes
Chicken pox;skin_rash;fatigue;lethargy;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;fatigue;lethargy;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;lethargy;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;high_fever;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;headache;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;loss_of_appetite;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;headache;mild_fever;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;headache;loss_of_appetite;swelled_lymph_nodes;malaise
Chicken pox;itching;skin_rash;fatigue;lethargy;high_fever;headache;loss_of_appetite;mild_fever;malaise
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite
Dengue;chills;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;joint_pain;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;chills;vomiting;fatigue;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;chills;joint_pain;fatigue;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;chills;joint_pain;vomiting;high_fever;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Dengue;skin_rash;chills;joint_pain;vomiting;fatigue;headache;nausea;loss_of_appetite;pain_behind_the_eyes
Typhoid;chills;vomiting;fatigue;high_fever;nausea;constipation;abdominal_pain;diarrhoea;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;constipation;abdominal_pain;diarrhoea;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;abdominal_pain;diarrhoea;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;diarrhoea;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;toxic_look_(typhos)
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea
Typhoid;chills;vomiting;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea
Typhoid;chills;fatigue;high_fever;headache;nausea;constipation;abdominal_pain;diarrhoea;toxic_look_(typhos)
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever
hepatitis A;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;dark_urine;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;nausea;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;abdominal_pain;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;diarrhoea;mild_fever;yellowing_of_eyes
hepatitis A;joint_pain;vomiting;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;mild_fever;yellowing_of_eyes
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes
Hepatitis B;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;dark_urine;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;loss_of_appetite;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;abdominal_pain;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;yellow_urine;yellowing_of_eyes;malaise
Hepatitis B;itching;fatigue;lethargy;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellowing_of_eyes;malaise
Hepatitis D;joint_pain;vomiting;fatigue;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain
Hepatitis E;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;fatigue;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;high_fever;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;yellowish_skin;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;dark_urine;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;nausea;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Hepatitis E;joint_pain;vomiting;fatigue;high_fever;yellowish_skin;dark_urine;loss_of_appetite;abdominal_pain;yellowing_of_eyes
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite
Tuberculosis;vomiting;fatigue;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;fatigue;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;weight_loss;cough;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;cough;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;weight_loss;high_fever;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;breathlessness;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;high_fever;sweating;loss_of_appetite;mild_fever
Tuberculosis;chills;vomiting;fatigue;weight_loss;cough;high_fever;breathlessness;loss_of_appetite;mild_fever
Common Cold;continuous_sneezing;chills;fatigue;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm
Common Cold;continuous_sneezing;chills;fatigue;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm
Common Cold;chills;fatigue;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;fatigue;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;cough;high_fever;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;fatigue;high_fever;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;fatigue;cough;headache;swelled_lymph_nodes;malaise;phlegm;throat_irritation
Common Cold;continuous_sneezing;chills;fatigue;cough;high_fever;swelled_lymph_nodes;malaise;phlegm;throat_irritation
